# x1	 x2	 y
0.38 	 0.37	 0 
0.61 	 0.09	 0 
0.33 	 0.04	 0 
0.51 	 0.15	 0 
0.30 	 0.31	 0 
0.22 	 0.42	 0 
0.12 	 0.01	 0 
0.12 	 0.30	 0 
0.57 	 0.17	 0 
0.07 	 0.22	 0 
0.28 	 0.31	 0 
0.36 	 0.15	 0 
0.59 	 0.03	 0 
0.60 	 0.01	 0 
0.91 	 0.07	 0 
0.61 	 0.15	 0 
0.87 	 0.06	 0 
0.81 	 0.17	 0 
0.34 	 0.12	 0 
0.83 	 0.18	 0 
0.39 	 0.09	 0 
0.45 	 0.28	 0 
0.96 	 0.08	 0 
0.90 	 0.11	 0 
0.07 	 0.01	 0 
1.00 	 0.77	 1 
0.86 	 0.41	 1 
0.66 	 0.87	 1 
0.42 	 0.69	 1 
0.45 	 0.66	 1 
0.09 	 0.85	 1 
0.49 	 0.70	 1 
0.36 	 0.64	 1 
0.97 	 0.95	 1 
0.29 	 0.71	 1 
0.33 	 0.75	 1 
0.16 	 0.86	 1 
0.67 	 0.55	 1 
0.61 	 0.61	 1 
0.80 	 0.82	 1 
0.44 	 0.91	 1 
0.78 	 0.75	 1 
0.88 	 0.64	 1 
0.68 	 0.43	 1 
0.38 	 0.96	 1 
0.46 	 0.93	 1 
0.66 	 0.97	 1 
0.77 	 0.40	 1 
0.41 	 0.70	 1 
0.32 	 0.88	 1 
