# x1	 x2	 y
1.00 	 0.12	 0 
0.80 	 0.04	 0 
0.48 	 0.14	 0 
0.60 	 0.13	 0 
0.91 	 0.22	 0 
0.65 	 0.28	 0 
0.15 	 0.47	 0 
0.12 	 0.32	 0 
0.94 	 0.10	 0 
0.36 	 0.06	 0 
0.07 	 0.07	 0 
0.88 	 0.03	 0 
0.62 	 0.11	 0 
0.85 	 0.12	 0 
0.11 	 0.24	 0 
0.78 	 0.14	 0 
0.03 	 0.40	 0 
0.67 	 0.26	 0 
0.13 	 0.42	 0 
0.28 	 0.18	 0 
0.42 	 0.05	 0 
0.08 	 0.39	 0 
0.60 	 0.35	 0 
0.28 	 0.17	 0 
0.40 	 0.37	 0 
0.97 	 0.28	 1 
0.58 	 0.97	 1 
0.14 	 0.85	 1 
0.09 	 0.96	 1 
0.59 	 0.97	 1 
0.76 	 0.74	 1 
0.93 	 0.92	 1 
0.90 	 0.58	 1 
0.74 	 0.62	 1 
0.39 	 0.82	 1 
0.02 	 0.77	 1 
0.32 	 0.97	 1 
0.15 	 0.97	 1 
0.14 	 0.71	 1 
0.59 	 0.69	 1 
0.33 	 0.84	 1 
0.39 	 0.61	 1 
0.96 	 0.64	 1 
0.25 	 0.81	 1 
0.30 	 0.72	 1 
0.97 	 0.99	 1 
0.86 	 0.71	 1 
0.84 	 0.59	 1 
0.67 	 0.57	 1 
0.88 	 0.80	 1 
