# x	 y
1.18 	 -0.49
-2.05 	 -1.29
3.17 	 1.45
-1.72 	 -0.72
2.04 	 -0.09
-1.58 	 0.30
1.72 	 0.55
-2.82 	 -0.96
2.21 	 0.66
-1.21 	 0.09
2.31 	 1.26
-0.81 	 0.65
1.41 	 -0.68
-1.72 	 -0.36
1.56 	 -0.47
-0.97 	 0.38
1.89 	 0.65
-2.04 	 -0.16
1.43 	 -0.37
-0.58 	 0.73
1.54 	 0.01
-2.42 	 -1.91
2.53 	 1.27
-0.99 	 1.34
1.48 	 -0.52
-0.89 	 1.04
1.24 	 -0.95
-2.39 	 -1.22
0.89 	 -1.45
-2.29 	 -1.12
2.23 	 0.22
-1.55 	 -0.61
1.08 	 -0.62
-2.36 	 -0.92
0.66 	 -1.48
-1.31 	 0.40
1.67 	 -1.06
-2.33 	 -0.70
0.84 	 -1.31
-2.54 	 -1.26
1.87 	 0.43
-2.16 	 -0.97
3.26 	 1.76
-2.12 	 -0.91
1.04 	 -0.31
-0.49 	 2.94
1.29 	 -0.75
-1.96 	 -0.28
0.98 	 -1.54
-3.47 	 -2.38
1.81 	 0.79
-2.06 	 -0.35
1.92 	 -0.15
-2.24 	 -0.36
2.38 	 1.39
-3.32 	 -2.20
2.11 	 0.13
-0.45 	 2.17
2.66 	 1.16
-2.40 	 -1.23
2.38 	 1.15
-2.82 	 -1.23
1.06 	 -2.27
-1.34 	 1.10
1.65 	 -0.10
-2.52 	 -1.26
1.52 	 -0.06
-2.63 	 -1.13
1.93 	 1.17
-0.01 	 3.37
2.39 	 0.83
-1.61 	 0.21
0.91 	 -0.43
-1.66 	 -0.16
2.70 	 1.33
-1.51 	 -0.11
1.77 	 -0.52
-2.13 	 -0.55
2.23 	 0.16
-2.53 	 -0.38
2.69 	 1.24
-1.43 	 0.37
2.03 	 0.21
-1.43 	 0.46
1.81 	 0.94
-1.48 	 -0.77
1.17 	 -0.57
-2.71 	 -1.41
0.97 	 -0.97
-2.19 	 -1.02
0.82 	 -1.28
-1.34 	 0.16
1.39 	 -0.81
-2.24 	 -0.44
1.19 	 -1.01
-1.71 	 -0.82
2.75 	 1.51
-2.49 	 -1.03
1.72 	 0.07
-1.73 	 -0.11
2.00 	 0.21
-1.29 	 1.02
1.09 	 -0.42
-0.58 	 1.55
2.25 	 0.06
-3.11 	 -2.29
1.96 	 1.01
-1.65 	 0.20
2.95 	 1.75
-1.61 	 -0.30
1.03 	 -1.31
-2.64 	 -1.06
1.69 	 -0.02
-1.20 	 1.29
2.72 	 1.67
-1.91 	 -0.31
2.32 	 0.40
-1.95 	 0.50
0.67 	 -1.98
-1.06 	 1.46
1.82 	 0.10
-0.81 	 1.28
2.16 	 1.06
-1.88 	 -0.72
1.60 	 0.05
-1.63 	 -0.18
2.40 	 0.82
-1.80 	 -0.36
1.94 	 1.01
-2.26 	 -0.37
1.61 	 -0.32
-0.81 	 1.36
1.25 	 0.25
-0.33 	 1.75
2.21 	 0.74
-2.11 	 -0.39
-0.06 	 -3.16
-2.73 	 -1.13
0.64 	 -1.55
-1.72 	 0.41
1.33 	 -1.27
-2.23 	 -0.85
2.98 	 2.94
-2.55 	 -1.11
1.69 	 0.48
-2.02 	 -0.62
1.42 	 0.38
-0.97 	 1.66
1.88 	 0.43
-1.35 	 1.37
